R,RDes,P,PDes,Y,YDes,FaultIn
0.008710236,-20.33477,-0.005670457,-10.57913,-0.02207132,0.003620321,0
0.009811317,-20.33766,-0.008160561,-10.5778,-0.01095258,0.004343701,0
-0.0003931992,-20.33811,0.007822865,-10.57574,-0.01551016,0.003944417,0
-0.01499772,-17.75124,0.01998301,-10.5767,0.04675132,0.01947935,0
-0.04084063,-17.7485,0.02198869,-10.57979,-0.04257303,0.02113007,0
-0.02808373,-13.61314,0.01131999,-10.5802,-0.05541177,0.04680493,0
-0.04694676,-12.57557,0.009203626,-10.5789,0.04151529,0.0511579,0
0.02673276,-11.54365,-0.03094088,-10.57602,-0.02794789,0.05779675,0
0.03880944,-10.51298,0.03794403,-10.57827,0.02230121,0.06409448,0
-0.002134615,-10.51183,0.04727228,-10.58196,0.02799721,0.063859,0
0.01926913,-10.51075,-0.03000358,-10.57758,-0.03811411,0.06476047,0
0.02109771,-10.51765,-0.02894582,-10.57425,0.02516699,0.06376815,0
0.05837241,-11.03561,0.01907358,-10.57882,0.1695556,0.05776699,0
0.02857587,-10.52061,0.05555225,-10.57992,-0.02869522,0.0660467,0
-0.01730233,-11.04025,0.05547562,-10.57597,-0.08919925,0.06249832,0
-0.01547412,-11.03805,0.04865282,-10.59114,-0.2874721,0.06560227,0
0.02020381,-11.04315,0.1565227,-10.59946,-0.244109,0.0632393,0
-0.05527066,-11.04093,0.02471982,-10.59241,0.1074138,0.0547182,0
0.0105953,-11.04418,-0.08774881,-10.56983,0.7297789,0.05105059,0
0.06692842,-11.05579,-0.07324246,-10.56742,0.4246209,0.0559378,0
-0.1088968,-11.03939,-0.07337115,-10.56733,-0.3250966,0.06675724,0
-0.03310402,-11.56102,-0.03702999,-10.58574,-0.4872229,0.06398422,0
0.01966673,-11.56485,0.06803705,-10.60067,-0.2433206,0.05902271,0
-0.1698277,-11.03961,0.0001188832,-10.58991,0.4035417,0.05182443,0
-0.1411926,-11.03312,-0.0406871,-10.56449,0.5469556,0.05245887,0
-0.03947954,-11.02781,-0.1362926,-10.55453,-0.1513935,0.06400216,0
-0.06886173,-11.0398,0.1992689,-10.58101,-0.6715618,0.0686366,0
0.7300317,-11.11981,0.1359692,-10.60706,-0.3611473,0.05679925,0
0.5122289,-11.04776,-0.01872883,-10.62341,0.3070755,0.05270077,0
0.2381948,-11.04161,-0.313424,-10.60799,0.379724,0.05999656,0
-0.1873624,-11.59032,0.2527792,-10.60979,0.09101597,0.05977845,0
0.1943266,-11.58516,0.1468131,-10.59521,-0.9441515,0.07252801,0
0.3445135,-11.1285,-0.435463,-10.53646,-0.1140353,0.05871756,0
-0.1041526,-11.10306,0.6007814,-10.6267,0.1556677,0.0612397,0
0.5489249,-11.10482,0.519102,-10.63648,1.668367,0.031577,0
0.7306501,-11.09,0.7692633,-10.57862,0.5752535,0.05409239,0
0.02059956,-11.07924,0.7105043,-10.62813,0.1254013,0.053824,0
-0.4722987,-11.06005,0.0139562,-10.61097,-0.7889673,0.06764164,0
-1.119817,-10.64481,0.7342997,-10.60756,0.4914815,0.06246001,0
0.2321404,-10.60333,-0.5616836,-10.60034,-0.1699955,0.06846461,0
0.3768595,-10.63414,-0.8890929,-10.50049,0.4387697,0.05923839,0
0.5517542,-11.1183,1.408534,-10.65573,-0.2472591,0.06414779,0
0.5902331,-10.63789,1.48777,-10.67721,0.2252785,0.06661808,0
0.6110083,-10.64356,-0.7234231,-10.57556,-0.5353706,0.07039224,0
-0.1485988,-10.59737,0.07209735,-10.66135,0.3443538,0.060354,0
0.4878092,-10.63556,-0.2527494,-10.64381,0.4018802,0.05094213,0
-0.84142,-10.57557,0.3670766,-10.62995,-0.2128506,0.07178555,0
0.2654084,-10.59198,0.127672,-10.62274,0.04997127,0.06874132,0
-0.03668375,-10.58532,-0.1680785,-10.60276,-0.6228415,0.07035324,0
-0.2247549,-10.62875,0.3465139,-10.6361,-0.1856112,0.0671213,0
0.2728291,-10.58869,-0.6435779,-10.55474,0.1290503,0.05772989,0
-0.2859315,-10.5872,0.3071508,-10.6028,0.3109527,0.06029778,0
0.498313,-10.61646,0.08837084,-10.58629,-0.1740569,0.05176624,0
-0.07960359,-10.61847,-0.09319403,-10.61108,0.2124386,0.05822772,0
0.8046743,-10.66418,0.6570742,-10.64853,0.1934625,0.05954091,0
-0.2819566,-10.56207,0.2287349,-10.64768,-0.2063977,0.07105812,0
0.08198418,-10.60573,-0.2157602,-10.61714,-0.06573669,0.06968685,0
0.1688428,-10.62141,0.08961084,-10.66107,-0.1057745,0.05271648,0
-0.6720015,-10.58783,-0.2455706,-10.61455,0.1329969,0.07227843,0
0.3056712,-10.61884,-0.02193343,-10.61859,0.1207101,0.06606939,0
-0.8233513,-10.56912,0.1510196,-10.6471,-0.3175202,0.07022779,0
0.4159572,-10.61631,-0.2350065,-10.65096,0.5459288,0.0600292,0
-0.3136719,-10.56447,-0.3605087,-10.62562,-0.2505919,0.062638,0
0.1666675,-11.13385,0.4314108,-10.67051,0.151159,0.06757005,0
0.1691841,-10.63081,0.2495873,-10.67778,-0.05000029,0.07046688,0
-0.4934996,-10.60041,-0.1120526,-10.66337,-0.4348209,0.07706722,0
0.1665291,-10.63877,-0.8667284,-10.5931,0.2966821,0.05332765,0
-0.5961121,-10.59015,-0.3720035,-10.64534,-0.3252416,0.07049248,0
0.1052541,-10.61404,0.6047561,-10.68008,0.1020685,0.07301643,0
0.61019,-10.60333,-0.2636172,-10.63798,0.09345461,0.05937756,0
-0.2011529,-10.60123,-0.6653992,-10.62688,0.181947,0.07051308,0
-0.1599243,-10.57503,-0.1104534,-10.65856,0.3479179,0.06441887,0
-0.4495675,-10.56278,-0.1749955,-10.64884,-0.3475831,0.06707604,0
0.4190077,-10.65919,0.01223563,-10.66728,0.2397095,0.06710233,0
-1.546442,-10.49231,-0.2770143,-10.64273,-0.2534782,0.07566541,0
-0.6340899,-10.54642,-0.3276137,-10.63626,0.06710591,0.0689095,0
0.6679854,-10.63187,-0.009730642,-10.66775,0.02897687,0.07204392,0
-0.4688091,-10.55909,0.8949314,-10.69317,-0.1354313,0.06885105,0
-0.6620526,-10.58289,-0.08418249,-10.61767,0.2305479,0.0491123,0
-0.1351839,-10.59148,-0.5852378,-10.62955,-0.5209051,0.08272628,0
