R,RDes,P,PDes,Y,YDes,FaultIn
0.04997719,-14.20782,-0.02207788,1.571838,-0.007011302,-0.01406283,0
0.05136674,-14.20858,-0.02296021,1.571181,-0.001444464,-0.01189198,0
-0.006406793,-14.20812,-0.003712252,1.569954,0.00213804,-0.01284025,0
0.005741802,-14.20939,-0.009756753,1.571015,-0.03886697,-0.01410524,0
0.02459511,-14.20792,-0.02052784,1.569706,-0.006495363,-0.01269258,0
-0.02106935,-14.20426,0.02835442,1.570637,-0.07440758,-0.01368661,0
-0.03209448,-14.20731,-0.01482898,1.576211,-0.0100854,-0.013338,0
0.04320823,-14.20576,0.004696193,1.570973,-0.02501857,-0.01271683,0
0.01152517,-14.20899,-0.02029127,1.574521,0.0395995,-0.01323927,0
-0.000445444,-14.20678,0.008541451,1.576399,0.001940592,-0.01295543,0
0.007863753,-14.20774,-0.00103836,1.574407,-0.0004209375,-0.01275185,0
0.05761188,-14.20093,0.02645859,1.574589,-0.04593241,-0.013617,0
0.003538172,-14.20698,-0.07390184,1.575119,-0.04373975,-0.01228745,0
-0.06074582,-14.19688,0.1128081,1.57967,0.1830621,-0.01138645,0
-0.04045692,-14.19576,0.04200868,1.575942,0.05846437,-0.01169113,0
-0.01864936,-14.19473,-0.07135191,1.575466,-0.1609317,-0.01352597,0
0.08215719,-14.19812,-0.04602539,1.567721,-0.09194036,-0.01478251,0
0.03447492,-14.19354,-0.05186639,1.566665,0.0562172,-0.01128618,0
0.08361949,-14.19582,-0.06130441,1.565031,0.09719452,-0.01187144,0
0.002955656,-14.19335,0.01177385,1.568861,-0.02384836,-0.01274546,0
-0.04453234,-14.71008,0.008006095,1.56654,-0.1469536,-0.01315385,0
0.07494742,-14.19337,-0.03122914,1.565023,0.01441579,-0.01183523,0
0.1022862,-14.20116,-0.05772709,1.56183,0.1959462,-0.01017756,0
-0.008798333,-14.2011,0.01869664,1.557078,0.007013303,-0.01394287,0
-0.07573993,-14.18795,0.1022746,1.566784,-0.3778013,-0.01809522,0
-0.006057195,-14.19627,-0.01468447,1.578392,-0.05562877,-0.01089261,0
0.1184186,-14.23386,-0.2686196,1.572714,0.5677004,-0.00779394,0
-0.009531821,-14.22014,0.151043,1.574003,-0.3475512,-0.01522498,0
-0.1645468,-14.203,-0.1789614,1.586965,0.3697037,-0.003115593,0
-0.1039897,-14.19071,0.1092311,1.578268,-0.1401509,-0.01866813,0
-0.07002652,-14.21802,-0.3440976,1.547875,0.2184605,-0.01249876,0
-0.7921269,-14.22091,-0.2056679,1.643109,-0.02985176,-0.02052273,0
-0.4696448,-14.17876,-0.003864983,1.599937,-0.8937439,-0.0196818,0
0.3242147,-14.18972,0.04978801,1.550309,0.1256843,-0.0151401,0
0.3421508,-14.22618,-0.7009286,1.536315,0.3993806,-0.006173716,0
0.1828284,-14.21003,0.04064752,1.585001,0.09220512,-0.01346161,0
-1.115249,-14.25665,-0.92527,1.664961,0.4434476,0.003575132,0
0.402967,-14.17355,0.2931653,1.551674,-0.9137218,-0.03766819,0
0.4968813,-14.21197,-0.2956867,1.548326,0.01219421,-0.001427734,0
0.3093982,-14.17048,0.4916473,1.576853,-0.6716441,-0.02712944,0
-0.4836366,-14.25281,-0.2114235,1.599424,1.353894,0.01286448,0
-0.01894573,-14.18882,-0.2508734,1.597364,-0.6704638,-0.01973334,0
-0.01698816,-14.17271,0.4080564,1.560784,1.045033,-0.009770084,0
0.4251303,-14.20685,-0.4007428,1.573085,-0.642694,-0.01463858,0
-0.4296286,-14.17061,0.7416471,1.629676,-0.3088138,-0.02762426,0
0.7150158,-14.76951,-1.377609,1.542298,-0.1040206,-0.0001793211,0
0.2676134,-14.09854,1.325852,1.567909,-0.1267702,-0.02381037,0
-0.2325305,-14.17968,0.07208236,1.595757,0.7444307,0.006298282,0
-0.08037253,-14.14722,0.3237368,1.612844,-0.5577981,-0.02173472,0
-0.1899545,-14.20793,0.02815599,1.581126,0.9665622,0.0003942525,0
