R,RDes,P,PDes,Y,YDes,FaultIn
0.02396313,-6.665253,0.05386329,-0.3692792,0.01321603,0.001086992,0
0.0265595,-6.666084,0.05726294,-0.3698947,0.006301819,-0.0002065529,0
0.03477136,-6.660297,0.05310418,-0.3725592,-0.04293433,0.0007961359,0
0.09268565,-6.657715,0.003345539,-0.3799836,0.005249004,0.0008937542,0
0.03776042,-6.653601,0.04943416,-0.3827765,0.01266533,0.001805415,0
0.06569906,-6.649488,0.03750494,-0.3843728,0.05216058,0.002918978,0
0.03067043,-6.65203,-0.03127402,-0.3844568,-0.03273724,0.0004210228,0
0.02684215,-6.652996,-0.009213383,-0.386401,-0.02449413,0.0007765447,0
-0.01618821,-6.652867,-0.00588976,-0.3811972,-0.07371654,0.0001222763,0
0.08532643,-6.650156,0.03899157,-0.3916673,-0.01006981,0.00152814,0
-0.05060437,-6.642378,0.0995996,-0.3827852,-0.05506644,0.001064019,0
0.01305027,-6.649162,-0.07110019,-0.3808109,-0.01471411,9.654011e-05,0
0.04174418,-6.643731,0.03162356,-0.3848722,-0.03502772,-0.0002638966,0
0.02648695,-6.644687,-0.01691721,-0.3892244,-0.0944911,-0.0004414187,0
0.05985218,-6.645574,-0.006906363,-0.3902276,-0.1232696,-9.716749e-05,0
0.004117433,-6.637452,0.02038342,-0.3835401,0.05852566,0.002272055,0
-0.02871744,-6.631715,0.1173591,-0.3819849,-0.0458704,-0.0003043174,0
0.0367591,-6.636003,0.04127804,-0.382641,-0.2224458,-0.004330539,0
0.090483,-6.633764,0.06827787,-0.3860489,-0.109611,-0.003007936,0
0.05950579,-6.630176,0.0556075,-0.3883487,0.03370738,-0.0002999721,0
0.1265599,-6.626529,0.01823944,-0.4031689,0.3079931,0.003380177,0
0.01746526,-6.620089,0.02903638,-0.4031447,0.1103006,9.460728e-05,0
-0.04426065,-6.632046,-0.1590244,-0.4059276,-0.3975683,-0.007946673,0
-0.3075129,-6.632917,-0.09752325,-0.3648758,-0.3741193,-0.003624902,0
0.1392525,-6.617257,0.07746269,-0.3731926,0.3740254,0.004085914,0
0.3544185,-6.610476,0.04465295,-0.4093695,0.2734216,0.002656138,0
-0.1492611,-6.608779,0.03358157,-0.4128053,-0.08768871,0.004012396,0
0.2287406,-6.605977,0.1858955,-0.4225722,0.3860769,0.00496326,0
0.3436407,-6.599591,-0.1386317,-0.4340757,-0.5763336,-0.01264221,0
-0.08033136,-6.628859,0.5032312,-0.4086609,0.01304986,0.0001082795,0
